Id,Date,Time,TotalIntensity,AverageIntensity
1503960366,4/12/2016,12:00 AM,20,0.33
1503960366,4/12/2016,1:00 AM,8,0.13
1503960366,4/12/2016,2:00 AM,7,0.12
1503960366,4/12/2016,3:00 AM,0,0.00
1503960366,4/12/2016,4:00 AM,0,0.00
1503960366,4/12/2016,5:00 AM,0,0.00
1503960366,4/12/2016,6:00 AM,0,0.00
1503960366,4/12/2016,7:00 AM,0,0.00
1503960366,4/12/2016,8:00 AM,13,0.22
1503960366,4/12/2016,9:00 AM,30,0.50
1503960366,4/12/2016,10:00 AM,29,0.48
1503960366,4/12/2016,11:00 AM,12,0.20
1503960366,4/12/2016,12:00 PM,11,0.18
1503960366,4/12/2016,1:00 PM,6,0.10
1503960366,4/12/2016,2:00 PM,36,0.60
1503960366,4/12/2016,3:00 PM,58,0.97
1503960366,4/12/2016,4:00 PM,13,0.22
1503960366,4/12/2016,5:00 PM,16,0.27
1503960366,4/12/2016,6:00 PM,29,0.48
1503960366,4/12/2016,7:00 PM,39,0.65
1503960366,4/12/2016,8:00 PM,41,0.68
1503960366,4/12/2016,9:00 PM,31,0.52
1503960366,4/12/2016,10:00 PM,9,0.15
1503960366,4/12/2016,11:00 PM,21,0.35
1503960366,4/13/2016,12:00 AM,14,0.23
1503960366,4/13/2016,1:00 AM,0,0.00
1503960366,4/13/2016,2:00 AM,0,0.00
1503960366,4/13/2016,3:00 AM,4,0.07
1503960366,4/13/2016,4:00 AM,0,0.00
1503960366,4/13/2016,5:00 AM,0,0.00
1503960366,4/13/2016,6:00 AM,0,0.00
1503960366,4/13/2016,7:00 AM,8,0.13
1503960366,4/13/2016,8:00 AM,12,0.20
1503960366,4/13/2016,9:00 AM,27,0.45
1503960366,4/13/2016,10:00 AM,15,0.25
1503960366,4/13/2016,11:00 AM,16,0.27
1503960366,4/13/2016,12:00 PM,15,0.25
1503960366,4/13/2016,1:00 PM,10,0.17
1503960366,4/13/2016,2:00 PM,46,0.77
1503960366,4/13/2016,3:00 PM,13,0.22
1503960366,4/13/2016,4:00 PM,10,0.17
1503960366,4/13/2016,5:00 PM,23,0.38
1503960366,4/13/2016,6:00 PM,25,0.42
1503960366,4/13/2016,7:00 PM,13,0.22
1503960366,4/13/2016,8:00 PM,0,0.00
1503960366,4/13/2016,9:00 PM,0,0.00
1503960366,4/13/2016,10:00 PM,11,0.18
1503960366,4/13/2016,11:00 PM,56,0.93
1503960366,4/14/2016,12:00 AM,4,0.07
1503960366,4/14/2016,1:00 AM,3,0.05
1503960366,4/14/2016,2:00 AM,0,0.00
1503960366,4/14/2016,3:00 AM,0,0.00
1503960366,4/14/2016,4:00 AM,0,0.00
1503960366,4/14/2016,5:00 AM,0,0.00
1503960366,4/14/2016,6:00 AM,0,0.00
1503960366,4/14/2016,7:00 AM,0,0.00
1503960366,4/14/2016,8:00 AM,0,0.00
1503960366,4/14/2016,9:00 AM,14,0.23
1503960366,4/14/2016,10:00 AM,23,0.38
1503960366,4/14/2016,11:00 AM,7,0.12
1503960366,4/14/2016,12:00 PM,18,0.30
1503960366,4/14/2016,1:00 PM,54,0.90
1503960366,4/14/2016,2:00 PM,22,0.37
1503960366,4/14/2016,3:00 PM,7,0.12
1503960366,4/14/2016,4:00 PM,25,0.42
1503960366,4/14/2016,5:00 PM,5,0.08
1503960366,4/14/2016,6:00 PM,12,0.20
1503960366,4/14/2016,7:00 PM,1,0.02
1503960366,4/14/2016,8:00 PM,24,0.40
1503960366,4/14/2016,9:00 PM,57,0.95
1503960366,4/14/2016,10:00 PM,17,0.28
1503960366,4/14/2016,11:00 PM,0,0.00
1503960366,4/15/2016,12:00 AM,6,0.10
1503960366,4/15/2016,1:00 AM,5,0.08
1503960366,4/15/2016,2:00 AM,7,0.12
1503960366,4/15/2016,3:00 AM,0,0.00
1503960366,4/15/2016,4:00 AM,0,0.00
1503960366,4/15/2016,5:00 AM,1,0.02
1503960366,4/15/2016,6:00 AM,0,0.00
1503960366,4/15/2016,7:00 AM,1,0.02
1503960366,4/15/2016,8:00 AM,5,0.08
1503960366,4/15/2016,9:00 AM,2,0.03
1503960366,4/15/2016,10:00 AM,8,0.13
1503960366,4/15/2016,11:00 AM,23,0.38
1503960366,4/15/2016,12:00 PM,13,0.22
1503960366,4/15/2016,1:00 PM,9,0.15
1503960366,4/15/2016,2:00 PM,0,0.00
1503960366,4/15/2016,3:00 PM,0,0.00
1503960366,4/15/2016,4:00 PM,0,0.00
1503960366,4/15/2016,5:00 PM,47,0.78
1503960366,4/15/2016,6:00 PM,22,0.37
1503960366,4/15/2016,7:00 PM,32,0.53
1503960366,4/15/2016,8:00 PM,8,0.13
1503960366,4/15/2016,9:00 PM,14,0.23
1503960366,4/15/2016,10:00 PM,66,1.10
1503960366,4/15/2016,11:00 PM,95,1.58
1503960366,4/16/2016,12:00 AM,15,0.25
1503960366,4/16/2016,1:00 AM,0,0.00
1503960366,4/16/2016,2:00 AM,3,0.05
1503960366,4/16/2016,3:00 AM,1,0.02
1503960366,4/16/2016,4:00 AM,1,0.02
1503960366,4/16/2016,5:00 AM,1,0.02
1503960366,4/16/2016,6:00 AM,0,0.00
1503960366,4/16/2016,7:00 AM,4,0.07
1503960366,4/16/2016,8:00 AM,9,0.15
1503960366,4/16/2016,9:00 AM,38,0.63
1503960366,4/16/2016,10:00 AM,14,0.23
1503960366,4/16/2016,11:00 AM,30,0.50
1503960366,4/16/2016,12:00 PM,42,0.70
1503960366,4/16/2016,1:00 PM,90,1.50
1503960366,4/16/2016,2:00 PM,20,0.33
1503960366,4/16/2016,3:00 PM,0,0.00
1503960366,4/16/2016,4:00 PM,2,0.03
1503960366,4/16/2016,5:00 PM,17,0.28
1503960366,4/16/2016,6:00 PM,10,0.17
1503960366,4/16/2016,7:00 PM,12,0.20
1503960366,4/16/2016,8:00 PM,19,0.32
1503960366,4/16/2016,9:00 PM,13,0.22
1503960366,4/16/2016,10:00 PM,3,0.05
1503960366,4/16/2016,11:00 PM,5,0.08
1503960366,4/17/2016,12:00 AM,0,0.00
